Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,Z_mm_smoothed,B_px,X_mm,X_mm_smoothed,Y_mm,Y_mm_smoothed
6,7,329,381,334,399,71.36187550561161,178.35358140502814,71.65701864145414,197.0101520226813,0.6459,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5273,0.0497,3.0084,3.0475,187.2182,1.4894,1.4100,-4.4557,-4.6139
6,4,379,304,388,312,40.68937417517947,141.1134295522577,40.763605200941164,153.15351775261317,0.7759,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.5501,0.0409,2.4653,2.3737,146.8872,2.7933,2.7886,-2.405,-2.4128
6,8,390,161,400,156,336.6258356349518,128.5496013218244,336.3706222693432,139.71399357258383,0.7167,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.6282,0.0416,2.5087,2.3699,133.8995,3.0812,2.9982,1.3402,1.1859
7,6,134,421,119,443,123.4362672833935,250.44959572736389,123.51800864525191,277.0739973364516,0.7322,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6127,0.0505,3.0558,2.9831,263.0899,-3.6419,-3.6799,-5.5066,-5.5886
7,7,325,387,331,406,73.15068858817492,182.84966502567076,73.08423991610105,202.7732724004818,0.7975,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7457,0.0517,3.1297,3.0196,192.2968,1.4015,1.3611,-4.6175,-4.6903
7,8,386,167,396,163,338.45902408146156,122.56018929489298,338.4379865279685,133.33041663476493,0.9131,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.6806,0.0421,2.5378,2.3273,127.7186,2.9809,2.9441,1.1773,1.1118
8,9,421,408,456,453,52.75775484533084,246.2051989702898,52.63879174906132,303.2111475523286,0.9026,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,11.5386,0.1038,6.3491,6.3491,271.7508,4.1332,4.1332,-5.424,-5.4240
8,6,131,427,117,449,123.25742153496047,257.1108710264893,123.18502476377678,283.18545160371497,0.7546,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.3669,0.0483,2.9192,3.0083,269.519,-3.7053,-3.6997,-5.6581,-5.7048
8,7,323,393,328,412,74.26386459854103,188.04786624686813,74.35775354279127,207.69207977195472,0.7606,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5203,0.0496,3.0045,3.0221,197.3824,1.3392,1.3417,-4.7686,-4.8010
8,8,385,172,393,169,340.506938088849,119.87076374162301,340.43621638041736,128.41339493993607,0.778,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8263,0.0344,2.0631,2.3273,123.9951,2.9325,2.9441,1.0402,1.1118
9,6,127,434,112,457,123.15068804642237,265.15844319953305,123.146995832256,292.61749776799064,0.8555,5,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.4747,0.0492,2.9791,3.1761,278.2121,-3.8176,-3.7395,-5.8453,-5.8744
9,7,318,399,323,418,76.18023829605487,192.57466084612483,76.09471808574892,212.2192262732102,0.7774,5,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.3969,0.0485,2.9359,3.0252,201.9203,1.2142,1.3292,-4.9194,-5.0163
