Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
0,1,456,410,492,449,47.09890593320355,270.29613389761977,47.130370559661245,323.3713036124263,0.7045,5,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,9.9422,0.0894,5.4619,294.4612,5.0285,-5.4143
0,2,211,378,205,396,110.17685962711134,176.8530463407402,110.0081046789146,195.8187937865005,0.7009,5,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6595,0.0509,3.0818,185.8533,-1.6019,-4.3801
0,3,403,348,417,362,46.07282927579154,188.83061192507955,45.971021931079164,208.62646045025065,0.7621,5,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5388,0.0498,3.0148,198.2356,3.4544,-3.5796
0,4,379,304,388,312,40.68937417517947,141.1134295522577,40.763605200941164,153.15351775261317,0.7759,5,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.5501,0.0409,2.4653,146.8872,2.7933,-2.405
0,5,490,83,497,79,329.38536711965065,253.3081127796739,329.412194630867,261.36947029062134,0.8477,5,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.7418,0.0157,0.9046,257.2757,5.557,3.2865
1,2,204,382,197,400,111.80140948635182,183.09560344257315,111.74884456576632,202.4080037943164,0.7994,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5711,0.0501,3.0327,192.2681,-1.7897,-4.4806
1,3,397,351,410,366,48.03556912505557,186.93849255838134,48.136358368332594,206.7849124090053,0.7602,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6056,0.0504,3.0519,196.3615,3.2915,-3.6669
1,4,379,304,388,312,40.68937417517947,141.1134295522577,40.763605200941164,153.15351775261317,0.7759,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.5501,0.0409,2.4653,146.8872,2.7933,-2.405
2,2,190,387,181,404,115.10644604586585,193.25889371514057,115.35900239785802,212.47352776287215,0.6105,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.2666,0.0474,2.8635,202.4112,-2.1658,-4.5945
2,3,382,355,394,370,52.43140797117251,180.41341413542398,52.326406660169546,199.61963831246663,0.7614,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6202,0.0505,3.06,189.5312,2.9035,-3.767
