Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
0,1,411.0000,248.0000,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8538,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,0.7273,,411.0000,248.0000
1,1,411.0000,248.0000,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8448,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,0.7273,,411.0000,248.0000
2,1,411.0000,248.0000,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8635,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7302,0.0335,0.7302,,411.0000,248.0000
3,1,411.0000,248.0000,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8527,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7332,0.0335,0.7332,,411.0000,248.0000
4,1,411.0000,248.0000,421,251,12.149091607441346,147.29901561110313,12.449996507806603,157.70859202973057,0.6508,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7332,0.0341,0.7332,,411.0000,248.0000
5,1,411.0000,248.0000,421,251,12.149091607441346,147.29901561110313,12.449996507806603,157.70859202973057,0.6365,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7332,0.0341,0.7332,,411.0000,248.0000
6,1,411.0000,248.0000,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.855,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7332,0.0335,0.7332,,411.0000,248.0000
7,1,411.0000,248.0000,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8438,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7302,0.0335,0.7302,,411.0000,248.0000
8,1,411.0000,248.0000,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8685,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,0.7273,,411.0000,248.0000
9,1,411.0000,248.0000,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8491,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,0.7273,,411.0000,248.0000
