Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
23,1,411,248,421,250,12.149091607441346,147.29901561110313,12.094757077012101,157.4960316960399,0.8568,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7273,0.0335,2.6271,152.2270,3.7344,-0.8039,3.8200
24,1,411,248,422,250,12.149091607441346,147.29901561110313,12.019002454544527,158.47397262642215,0.7762,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7945,0.0365,2.8720,152.6823,3.7456,-0.8063,3.8314
25,1,411,247,422,250,11.768288932020644,147.09180806557515,12.019002454544527,158.47397262642215,0.7117,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8098,0.0372,2.9277,152.5709,3.7482,-0.7809,3.8286
27,2,124,456,113,475,120.89319526292691,278.5139134765084,120.8329444773688,300.4663042672173,0.8057,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8243,0.0379,2.9805,289.0739,-3.7245,-6.2249,7.2541
28,2,135,447,124,466,119.85207626918267,265.18672666632466,119.86863008834868,287.14108030722457,0.8951,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8641,0.0397,3.1257,275.7276,-3.4441,-6.0011,6.9191
28,3,436,221,449,222,1.3558599761066599,169.04733065032408,1.573664054102554,182.0686683644388,0.698,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8062,0.0371,2.9147,175.3165,4.3982,-0.1041,4.3994
29,3,448,210,462,209,357.7852448726808,181.13530854032848,357.6507213525199,195.1640335717624,0.7902,1,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8105,0.0373,2.9302,187.8882,4.7114,0.1822,4.7149
30,2,152,431,142,448,118.25283625152029,242.94237999986746,118.41895215226042,262.65186083483206,0.6854,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8475,0.039,3.0651,252.4130,-2.9983,-5.5795,6.3341
30,3,454,203,468,203,355.71846376492937,187.52333188166213,356.0156839976278,201.48697228356974,0.6277,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7804,0.0359,2.8204,194.2545,4.8610,0.3639,4.8746
31,2,154,428,145,445,118.17105416636024,239.35329536064467,118.15068858817492,258.58847615468096,0.8687,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8398,0.0386,3.0370,248.5994,-2.9452,-5.4994,6.2384
31,3,457,201,471,200,355.1864491062935,190.67249408344142,355.23635830927384,204.70710783946902,0.8765,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7717,0.0355,2.7888,197.4407,4.9371,0.4158,4.9546
