Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
12,1,265,387,263,408,92.29061004263853,175.13994404475525,92.62908188563867,196.2065238466856,0.5175,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.3088,0.0567,3.4427,185.0757,-0.2001,-4.64
12,2,258,388,256,404,94.54804240912542,176.555940143627,94.76364169072617,192.66551326067673,0.8247,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.8521,0.0436,2.6331,184.2593,-0.3757,-4.6085
12,3,275,364,276,381,88.86930904876203,152.029602380589,88.64414002389334,169.04733065032408,0.6035,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8942,0.053,3.2123,160.0875,0.0876,-4.0163
12,4,283,365,283,380,85.88777115528154,153.39491516996253,86.25383795039637,168.35973390332975,0.5538,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.1723,0.0465,2.8111,160.5293,0.2754,-4.0189
12,6,99,203,79,202,182.97802065194975,173.23394586512194,182.9660408899871,193.25889371514057,0.7867,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.0763,0.0546,3.3135,182.6993,-4.5785,0.2377
12,5,92,203,72,202,182.86240522611175,180.22485955050706,182.86240522611175,200.24984394500785,0.8906,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.853,0.0526,3.1894,189.7104,-4.7547,0.2377
13,2,258,388,256,404,94.54804240912542,176.555940143627,94.76364169072617,192.66551326067673,0.8068,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.8521,0.0436,2.6331,184.2593,-0.3757,-4.6085
13,3,275,364,276,381,88.86930904876203,152.029602380589,88.64414002389334,169.04733065032408,0.6059,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8942,0.053,3.2123,160.0875,0.0876,-4.0163
13,4,283,365,283,380,85.88777115528154,153.39491516996253,86.25383795039637,168.35973390332975,0.5518,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.1723,0.0465,2.8111,160.5293,0.2754,-4.0189
13,6,99,203,79,202,182.97802065194975,173.23394586512194,182.9660408899871,193.25889371514057,0.8232,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.0763,0.0546,3.3135,182.6993,-4.5785,0.2377
13,5,91,203,72,202,182.8466169158161,181.22361876973983,182.86240522611175,200.24984394500785,0.8242,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5465,0.0499,3.0191,190.2623,-4.7685,0.2378
14,1,265,388,263,408,92.27760895833408,176.13914953808538,92.62908188563867,196.2065238466856,0.5045,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.9935,0.0539,3.2674,185.6321,-0.2002,-4.654
14,2,258,389,256,404,94.522454146402,177.55280904564702,94.76364169072617,192.66551326067673,0.7833,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.5396,0.0408,2.4595,184.8007,-0.3758,-4.6222
14,3,275,365,276,382,88.87669728592458,153.0294089382822,88.65211271980141,170.0470523119998,0.6098,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8577,0.0527,3.192,161.09,0.0876,-4.0415
14,4,283,365,283,381,85.88777115528154,153.39491516996253,86.27594202725172,169.3576098083579,0.5264,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5001,0.0495,2.9933,160.9815,0.2754,-4.0303
14,6,99,203,72,202,182.97802065194975,173.23394586512194,182.86240522611175,200.24984394500785,0.8328,5,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,8.0442,0.0723,4.4071,185.7648,-4.6556,0.2371
15,1,266,389,264,409,91.94148639091439,177.1016657177453,92.3254544207753,197.1623696347759,0.5131,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.9608,0.0536,3.2493,186.5944,-0.1752,-4.6791
15,2,258,389,257,405,94.522454146402,177.55280904564702,94.4441061216527,193.58202395883765,0.8686,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.803,0.0432,2.6059,185.2213,-0.3632,-4.6338
15,4,284,366,284,383,85.54439716667369,154.46682491719702,85.98582430458899,171.42053552593984,0.589,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7854,0.052,3.1518,162.5027,0.3003,-4.0668
15,3,276,366,277,383,88.51213247117222,154.0519392932137,88.3251620094708,171.0730837975396,0.6485,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.822,0.0524,3.1722,162.117,0.1126,-4.0666
15,6,92,205,73,203,182.22704696741357,180.13605968822566,182.5895018472409,199.2034136253694,0.5747,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.5898,0.0503,3.0431,189.1905,-4.7433,0.2002
15,5,99,204,80,203,182.64762966529221,173.18487231857176,182.68377515946898,192.21082175569617,0.7509,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7905,0.0521,3.1547,182.2025,-4.5673,0.2127
16,1,266,390,264,412,91.93058744116699,178.10109488714548,92.29061004263853,200.15993605114886,0.52,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.4852,0.0583,3.5407,188.4873,-0.1751,-4.7267
16,2,258,392,257,409,94.44738485009049,180.54362353736008,94.35422106306962,197.57024067404484,0.7579,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.0077,0.045,2.7196,188.6736,-0.3631,-4.7206
16,4,284,367,284,386,85.57302835252061,155.46382215808282,86.05481377096244,174.41330224498358,0.6031,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.3882,0.0574,3.4868,164.3943,0.3001,-4.1144
16,3,276,367,277,386,88.52172734331113,155.05160431288675,88.35402250243595,174.07182425654074,0.7269,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.4267,0.0578,3.5082,164.0121,0.1125,-4.1142
16,6,92,206,72,205,181.90915243299636,180.0999722376436,182.00453403210588,200.12246250733574,0.7541,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8562,0.0527,3.1911,189.584,-4.7547,0.1627
16,5,99,205,80,205,182.31706238587134,173.1415605797753,182.08798383272335,192.12756179163884,0.7141,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7804,0.052,3.149,182.1411,-4.5673,0.1752
17,1,268,393,266,414,91.26599900039474,181.04419349981927,91.70135460532613,202.08908926510605,0.4412,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.1085,0.0549,3.3313,190.9887,-0.1251,-4.7911
17,2,260,394,259,410,93.77228360937984,182.3951753747889,93.75645254780407,198.4263087395419,0.9489,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.6814,0.0421,2.5383,190.0733,-0.3131,-4.7594
17,3,279,370,280,388,87.46323826184002,158.15498727514097,87.39743779750019,176.1817243643619,0.6941,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.9961,0.0539,3.2689,166.6824,0.1877,-4.1785
17,4,286,370,287,387,84.93638314696992,158.61904047118682,85.10090754621224,175.64168070250295,0.6796,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6634,0.0509,3.084,166.6969,0.3629,-4.1673
17,6,95,209,76,208,180.97102193107915,177.02542190318317,181.1691393279074,196.04081207748553,0.6601,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6683,0.051,3.0867,186.0485,-4.6679,0.0876
17,5,102,208,83,208,181.3478872801986,170.0470523119998,181.21242808994492,189.04232330353963,0.6703,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8827,0.0529,3.2059,179.0423,-4.4918,0.1001
18,1,268,393,266,414,91.26599900039474,181.04419349981927,91.70135460532613,202.08908926510605,0.4379,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.1085,0.0549,3.3313,190.9887,-0.1251,-4.7911
18,2,260,394,259,410,93.77228360937984,182.3951753747889,93.75645254780407,198.4263087395419,0.979,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.6814,0.0421,2.5383,190.0733,-0.3131,-4.7594
18,3,279,370,280,388,87.46323826184002,158.15498727514097,87.39743779750019,176.1817243643619,0.7035,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.9961,0.0539,3.2689,166.6824,0.1877,-4.1785
18,4,286,370,287,386,84.93638314696992,158.61904047118682,85.07289005235099,174.6453549339346,0.6687,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.3478,0.0481,2.9086,166.2469,0.363,-4.156
18,5,95,208,83,208,181.2945995181643,177.04519197086375,181.21242808994492,189.04232330353963,0.6408,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6444,0.0328,1.962,182.8472,-4.5873,0.1003
18,6,102,208,76,207,181.3478872801986,170.0470523119998,181.46131009088123,196.0637651377735,0.7862,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,7.9027,0.0711,4.3285,182.131,-4.569,0.1124
19,1,267,390,265,411,91.60900890604739,178.07021087200408,92.01459878787057,199.12307751739877,0.4924,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.207,0.0558,3.3861,188.0091,-0.1501,-4.7155
19,2,259,391,258,406,94.15385308695119,179.47144619688115,94.12759170251174,194.50449866262733,0.9122,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.4703,0.0402,2.421,186.6858,-0.3382,-4.6725
19,3,278,367,278,384,87.78320565925982,155.11608556174951,88.00212014352333,172.10461934532728,0.6798,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7736,0.0519,3.1453,163.1693,0.1502,-4.0918
19,4,285,367,285,383,85.2057679333694,155.54420593516173,85.65254309244033,171.49344010777787,0.5591,6,80,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.4235,0.0488,2.9507,163.1299,0.3254,-4.0806
