Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
4,1,586,421,631,450,33.647938283930316,377.19623540008985,33.54249340411745,430.7261310856354,0.7351,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4404,0.0663,4.0249,402.1878,8.4016,-5.5922,10.0925
4,2,504,237,538,241,6.150381528504815,233.34309503390068,6.221958774002509,267.5761573832766,0.7836,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4857,0.0683,4.1510,249.2899,6.2197,-0.6702,6.2557
4,6,564,188,606,185,355.30131948270053,292.9846412356798,355.37835499380697,335.08954027244715,0.8957,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4574,0.067,4.0722,312.6258,7.8187,0.6426,7.8451
4,3,369,118,383,104,315.8998597149044,135.07405376311175,315.7848246029919,154.8709139896837,0.8013,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4844,0.0683,4.1472,144.2966,2.6003,2.5199,3.6210
4,4,371,89,385,70,308.8298249049704,157.8923684032892,308.5118848834895,181.47451611727746,0.6989,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5107,0.0695,4.2204,168.8641,2.6569,3.3011,4.2375
4,5,132,58,112,36,227.72631099390625,208.12496246245908,227.72631099390625,237.8570999570961,0.8274,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4493,0.0667,4.0498,222.0000,-3.7474,4.1221,5.5709
5,1,586,421,631,450,33.647938283930316,377.19623540008985,33.54249340411745,430.7261310856354,0.7376,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4404,0.0663,4.0249,402.1878,8.4016,-5.5922,10.0925
5,2,504,237,535,241,6.150381528504815,233.34309503390068,6.2923655637681275,264.59402865522117,0.7176,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.3644,0.0628,3.8136,247.9879,6.1872,-0.6667,6.2230
5,6,564,188,606,185,355.30131948270053,292.9846412356798,355.37835499380697,335.08954027244715,0.8646,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4574,0.067,4.0722,312.6258,7.8187,0.6426,7.8451
5,3,369,117,383,104,315.5968094512292,135.77186748365804,315.7848246029919,154.8709139896837,0.7468,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4286,0.0657,3.9921,144.6939,2.5941,2.5406,3.6310
5,4,371,88,385,70,308.6034147885278,158.67261893597143,308.5118848834895,181.47451611727746,0.8122,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4573,0.067,4.0721,169.3093,2.6509,3.3203,4.2487
5,5,132,58,112,36,227.72631099390625,208.12496246245908,227.72631099390625,237.8570999570961,0.8377,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4493,0.0667,4.0498,222.0000,-3.7474,4.1221,5.5709
6,1,586,421,631,451,33.647938283930316,377.19623540008985,33.65322137060058,431.2794917452023,0.842,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4543,0.0669,4.0636,402.4289,8.4067,-5.5955,10.0986
6,2,504,237,538,241,6.150381528504815,233.34309503390068,6.221958774002509,267.5761573832766,0.7798,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4857,0.0683,4.1510,249.2899,6.2197,-0.6702,6.2557
6,6,564,188,606,185,355.30131948270053,292.9846412356798,355.37835499380697,335.08954027244715,0.8646,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4574,0.067,4.0722,312.6258,7.8187,0.6426,7.8451
6,3,369,118,383,104,315.8998597149044,135.07405376311175,315.7848246029919,154.8709139896837,0.7956,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4844,0.0683,4.1472,144.2966,2.6003,2.5199,3.6210
6,4,371,89,385,71,308.8298249049704,157.8923684032892,308.70932922664497,180.6931099959265,0.7928,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.464,0.0673,4.0905,168.5250,2.6516,3.2944,4.2290
6,5,132,58,112,36,227.72631099390625,208.12496246245908,227.72631099390625,237.8570999570961,0.8643,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4493,0.0667,4.0498,222.0000,-3.7474,4.1221,5.5709
7,1,586,421,631,450,33.647938283930316,377.19623540008985,33.54249340411745,430.7261310856354,0.7339,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4404,0.0663,4.0249,402.1878,8.4016,-5.5922,10.0925
7,2,505,237,538,241,6.12418606046248,234.33736364481018,6.221958774002509,267.5761573832766,0.7753,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4397,0.0662,4.0230,249.8562,6.2341,-0.6689,6.2699
7,6,564,188,607,185,355.30131948270053,292.9846412356798,355.39209145050796,336.0862984413378,0.7744,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4895,0.0685,4.1616,313.0589,7.8295,0.6435,7.8559
7,3,369,118,383,104,315.8998597149044,135.07405376311175,315.7848246029919,154.8709139896837,0.7966,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4844,0.0683,4.1472,144.2966,2.6003,2.5199,3.6210
7,4,371,89,386,70,308.8298249049704,157.8923684032892,308.75808565258495,182.0988742414406,0.8202,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5478,0.0712,4.3237,169.1339,2.6612,3.3063,4.2443
7,5,132,58,112,36,227.72631099390625,208.12496246245908,227.72631099390625,237.8570999570961,0.8425,6,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4493,0.0667,4.0498,222.0000,-3.7474,4.1221,5.5709
8,1,586,421,631,451,33.647938283930316,377.19623540008985,33.65322137060058,431.2794917452023,0.8433,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4543,0.0669,4.0636,402.4289,8.4067,-5.5955,10.0986
8,2,505,237,538,241,6.12418606046248,234.33736364481018,6.221958774002509,267.5761573832766,0.7708,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4397,0.0662,4.0230,249.8562,6.2341,-0.6689,6.2699
8,3,369,118,383,105,315.8998597149044,135.07405376311175,316.05118074954373,154.17522498767434,0.7839,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4356,0.066,4.0117,143.9939,2.5949,2.5146,3.6134
8,4,371,89,386,72,308.8298249049704,157.8923684032892,309.15543412261314,180.54362353736008,0.6868,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.455,0.0669,4.0656,168.4600,2.6506,3.2932,4.2274
8,5,133,58,113,37,227.9306725055669,207.45360927204905,227.7426113574816,236.4444966583067,0.7167,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4198,0.0653,3.9677,221.0024,-3.7159,4.1169,5.5459
9,1,591,423,634,453,33.48232449322185,382.4682993399584,33.653526855223994,434.8850422812907,0.8,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.3942,0.0641,3.8964,406.9959,8.5184,-5.6344,10.2132
9,2,509,239,544,243,6.499346279654567,238.53301658261063,6.501978510989743,273.7608445340568,0.8318,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4949,0.0688,4.1766,254.9357,6.3563,-0.7241,6.3974
9,3,373,120,388,106,317.66988976200764,136.61991070118586,317.5791475002834,157.13688300332294,0.8092,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5184,0.0698,4.2418,146.1619,2.7115,2.4699,3.6678
9,4,375,90,390,72,310.17314121887705,159.66527487215245,310.1261035777952,183.09560344257315,0.8111,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4861,0.0684,4.1520,170.5796,2.7614,3.2708,4.2805
9,5,136,59,117,37,228.36646066342982,204.70710783946902,228.46822925891712,233.77339455121918,0.788,5,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4411,0.0663,4.0269,218.2769,-3.6390,4.0939,5.4775
10,2,513,239,547,244,6.392373680037028,242.5077318355025,6.637295239200217,276.85555800814257,0.6744,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4378,0.0661,4.0176,258.5459,6.4476,-0.7223,6.4880
10,3,377,120,392,106,318.7754658242898,139.6030085635693,318.54476645559487,160.11246047700348,0.7553,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4877,0.0684,4.1564,149.1560,2.8152,2.4666,3.7429
10,4,379,91,395,73,311.486249739395,161.5239920259526,311.50536107274667,185.60711193270586,0.8346,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5083,0.0694,4.2137,172.7301,2.8714,3.2470,4.3345
10,5,141,60,122,38,229.24385227389803,200.66140635408692,229.23639479905881,229.73027662891977,0.8214,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.4683,0.0675,4.1026,214.2142,-3.5094,4.0719,5.3755
