Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
0,1,214,379,208,397,108.11605167335586,170.4494059831245,108.14799406268867,189.42280749687984,0.8749,4,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8348,0.0527,4.1297,179.4359,-1.4014,-4.2792
0,2,208,378,201,396,110.12584608587237,171.47011401407536,110.23969136961831,190.77997798511248,0.7998,4,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8993,0.0533,4.1748,180.6104,-1.5639,-4.2539
0,3,407,348,422,363,43.09788722534308,191.73158320944412,43.287347423311225,212.93426215618754,0.718,4,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7986,0.0524,4.1043,201.7775,3.6912,-3.466
0,4,400,348,414,362,44.5659493678606,186.6815470259447,44.60756929065913,206.48002324680226,0.7825,4,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.573,0.0504,3.9465,196.0823,3.5043,-3.4542
1,2,204,383,197,401,110.78265885471396,177.55280904564702,110.82855579020683,196.8654362756449,0.8194,1,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7084,0.0516,4.0412,186.711,-1.6643,-4.3798
2,2,190,387,181,406,114.36772984155562,186.62529303392935,114.46679088104594,207.64633394307737,0.8677,1,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.9005,0.0533,4.1756,196.5754,-2.0394,-4.4916
3,2,185,389,175,408,115.48920055628673,190.5465822312224,115.71897247733888,212.00235847744713,0.7872,1,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8986,0.0533,4.1744,200.7027,-2.177,-4.5417
4,2,165,395,153,415,119.81416273779868,205.15360099203718,119.9315118405078,228.47319317591726,0.724,2,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.9516,0.0538,4.2114,216.1864,-2.7023,-4.7041
4,5,357,362,366,378,58.172553423326896,170.66048165876012,58.41235764186841,189.0026454841307,0.6754,2,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6439,0.051,3.9961,179.3639,2.3652,-3.8294
5,2,165,396,154,416,119.67589183056877,206.0218435020908,119.58960856185033,228.84492565927695,0.8648,3,110,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.8082,0.0525,4.1111,216.8345,-2.6902,-4.7297
