Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
16,1,384,318,402,332,43.42344994481627,154.20765220960988,42.70938995736147,176.91806012954132,0.3526,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.491,0.0686,4.1754,164.7841,3.0033,-2.8424,4.1351
16,2,414,303,428,313,32.653579331273164,168.65645555388622,32.92046901338501,185.84133017173548,0.67,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0539,0.0485,2.9326,176.8324,3.7361,-2.3943,4.4374
18,1,383,320,402,336,44.21517539700812,154.8709139896837,43.64680804622031,179.655225362359,0.4391,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.6107,0.0741,4.5154,166.3450,2.9918,-2.9110,4.1743
18,2,414,306,428,316,33.50343698241422,170.29386365926402,33.690067525979785,187.48866632412745,0.7076,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0448,0.0481,2.9068,178.4781,3.7346,-2.4722,4.4787
19,2,414,306,428,316,33.50343698241422,170.29386365926402,33.690067525979785,187.48866632412745,0.7153,1,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0448,0.0481,2.9068,178.4781,3.7346,-2.4722,4.4787
20,1,390,318,409,333,41.9335144988741,158.61904047118682,41.45131802609556,182.7840255602223,0.4688,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5388,0.0708,4.3111,169.8463,3.1707,-2.8483,4.2621
20,2,420,303,435,314,31.585897503866722,173.738308959193,32.03696852986359,192.28364465029262,0.5436,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1015,0.0507,3.0680,182.5412,3.9021,-2.3993,4.5807
21,1,396,314,423,333,39.44005273669047,160.5615146914104,38.706051811048916,193.49935400408964,0.4298,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0224,0.093,5.6860,175.4984,3.4011,-2.7977,4.4040
21,2,428,299,443,309,29.148071845713044,178.61970775925036,29.564138112533197,196.596032513375,0.5374,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0415,0.0479,2.8975,187.1773,4.1022,-2.2878,4.6970
22,1,417,319,432,329,36.42476736016478,180.20543831971332,36.17613805695952,198.2145302443794,0.6838,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0346,0.0476,2.8778,188.7815,3.8118,-2.8129,4.7373
22,2,436,295,452,304,26.843860555522724,183.8069639594757,27.072080237992765,202.14846029589245,0.6522,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0331,0.0475,2.8736,192.5419,4.3110,-2.1818,4.8317
23,1,426,314,442,324,33.51800864525191,184.71599822430107,33.377832036430426,203.57799488156869,0.76,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0561,0.0486,2.9388,193.6889,4.0522,-2.6839,4.8604
23,2,445,292,462,300,24.81713087242685,190.60167890131504,24.851585859712173,209.3895890439637,0.7842,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0211,0.047,2.8395,199.5544,4.5452,-2.1018,5.0076
24,1,434,311,451,321,31.429565614838516,189.85520798756087,31.338846293094495,209.57576195734086,0.7851,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0733,0.0494,2.9879,199.2287,4.2660,-2.6070,4.9995
24,2,454,288,471,296,22.6645574346961,197.2308292331602,22.885121291416414,216.00231480241132,0.6515,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9876,0.0454,2.7441,206.1902,4.7746,-1.9938,5.1742
25,1,441,308,457,318,29.598625636273756,194.36306233438492,29.81154302313208,213.21585306913744,0.676,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0056,0.0463,2.7953,203.3534,4.4371,-2.5205,5.1030
25,2,459,286,477,293,21.589791687713987,201.10942295178512,21.560063906565105,220.42232191862965,0.8139,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.996,0.0458,2.7682,210.3235,4.9076,-1.9420,5.2779
26,1,446,306,463,315,28.37924308610794,197.76754030932378,28.336520917112065,217.00230413523263,0.8274,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0082,0.0464,2.8027,206.9389,4.5689,-2.4682,5.1929
26,2,464,283,483,291,20.293973727576844,204.70710783946902,20.526281180955344,225.30423875284725,0.6457,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0413,0.0479,2.8969,214.5124,5.0488,-1.8670,5.3830
27,1,454,304,472,313,26.81634684428694,203.93136100168604,26.793775628803157,224.0557966221807,0.8358,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0222,0.047,2.8427,213.5204,4.7819,-2.4172,5.3581
27,2,473,281,492,289,18.94650468950905,212.51352898109803,19.290046219188735,233.085821104588,0.5265,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0037,0.0462,2.7899,222.3248,5.2768,-1.8114,5.5790
28,1,464,303,482,312,25.35900239785803,212.47352776287215,25.463345061871614,232.59406699226014,0.7698,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9828,0.0452,2.7306,222.0790,5.0359,-2.3868,5.5729
28,2,483,280,503,287,17.86282738713119,221.68671588527806,17.98733465206146,242.87033577610913,0.7076,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9913,0.0456,2.7548,231.7955,5.5363,-1.7842,5.8167
29,1,470,300,489,309,23.962488974578186,216.6748716395143,24.08486337096684,237.6930794112441,0.7468,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0057,0.0463,2.7955,226.6978,5.1985,-2.3104,5.6888
29,2,488,277,509,284,16.747903058399967,225.5681715136247,16.898648694038226,247.69537742961614,0.6869,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0164,0.0468,2.8262,236.1145,5.6738,-1.7074,5.9251
30,1,476,298,495,306,22.858761879865654,221.38653978957257,22.856623019947538,242.00206610688264,0.842,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9672,0.0445,2.6861,231.2357,5.3469,-2.2541,5.8027
30,2,494,275,516,282,15.843082117687011,230.76611536358627,16.007404296099843,253.84247083575278,0.6759,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0352,0.0476,2.8796,241.7549,5.8362,-1.6562,6.0666
31,1,485,295,507,304,21.289438080651813,228.60008748904713,21.37981459711817,252.36679654819886,0.7849,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0743,0.0494,2.9906,239.8962,5.6092,-2.1857,6.0200
31,2,504,272,527,279,14.500166766552566,239.63305281200255,14.721440914978075,263.65507770570247,0.6118,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0377,0.0477,2.8865,251.0708,6.0997,-1.5775,6.3004
32,1,475,287,515,301,20.27716044768948,216.41164478835236,20.115516473235715,258.7856255668,0.6129,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.9386,0.0892,5.4476,235.7094,5.5484,-2.0499,5.9149
32,2,513,270,535,276,13.531694851164147,247.88101984621574,13.676866051312288,270.675081970986,0.6726,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9556,0.044,2.6533,258.7771,6.3135,-1.5194,6.4938
32,3,335,100,342,88,299.3577535427913,128.50291825480073,299.4454287299256,142.3938200906205,0.8121,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1148,0.0513,3.1057,135.0922,1.6620,2.9547,3.3900
33,4,518,451,538,469,44.173108018727945,342.9825068425502,44.014127870455184,369.8715993422582,0.4123,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.82,0.0377,2.2678,355.9199,6.4060,-6.2237,8.9315
33,1,500,290,522,298,18.88608736970929,240.97302753627844,18.98321705922621,264.37851652507624,0.767,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0069,0.0463,2.7990,252.1338,5.9864,-2.0480,6.3271
33,3,341,97,348,86,300.9637565320735,134.1118935814419,301.09731288577944,147.14618581533128,0.8125,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0075,0.0463,2.8007,140.3270,1.8117,3.0196,3.5214
34,1,508,287,531,295,17.630080218819145,247.63077353188558,17.76874885273887,271.97426348829407,0.7104,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0185,0.0468,2.8321,259.2323,6.1997,-1.9702,6.5052
34,3,350,94,358,83,303.4653793463553,141.4496376806954,303.69006752597977,155.03870484495155,0.745,2,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9964,0.0458,2.7693,147.9328,2.0471,3.0968,3.7122
35,1,513,285,536,293,16.85180015213771,251.81342299408902,17.056965576617063,276.14670014323906,0.6342,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.002,0.0461,2.7851,263.4193,6.3264,-1.9163,6.6103
35,2,532,262,557,268,10.885527054658738,264.76404589747455,11.116497086349096,290.4496514027862,0.5763,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0057,0.0463,2.7958,277.0127,6.8263,-1.3128,6.9514
35,3,355,92,364,80,304.67031791098054,145.90750494748377,304.87532834460217,160.89748288895012,0.7544,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0622,0.0489,2.9562,153.0363,2.1846,3.1584,3.8403
36,1,517,283,542,291,16.161372506720426,255.08037948850554,16.309084929224376,281.3201023745015,0.7158,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0635,0.0489,2.9599,267.5584,6.4488,-1.8688,6.7141
36,2,516,257,562,266,10.44942815776925,248.114892741246,10.548065418142127,294.98474536829866,0.6037,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.8762,0.0863,5.2702,269.5274,6.6514,-1.2267,6.7635
36,3,361,90,370,77,306.1110575215755,151.0132444522665,305.9768702871093,166.82026255823962,0.7862,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0812,0.0497,3.0103,158.5237,2.3444,3.2137,3.9780
37,1,523,282,547,289,15.582960379832224,260.5782032327339,15.642246457208728,285.57660968643773,0.7829,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9951,0.0458,2.7654,272.5053,6.5869,-1.8370,6.8383
37,2,542,259,568,265,9.874762207080384,274.0602123621742,10.151467294511995,300.70749907509787,0.5342,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0079,0.0464,2.8019,286.7661,7.0895,-1.2341,7.1961
37,3,366,89,375,76,307.38806240328506,154.80633061990713,307.1385745956389,170.60187572239644,0.7271,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0553,0.0485,2.9366,162.3207,2.4733,3.2364,4.0733
38,5,566,459,589,477,40.03482940664215,383.98567681620625,39.894346632492514,413.1755075025624,0.5187,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7961,0.0366,2.1997,398.0462,7.6478,-6.4252,9.9886
38,1,530,280,555,287,14.765423109928552,266.8107943843352,14.843172923028854,292.76953393411685,0.757,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0085,0.0464,2.8036,279.1881,6.7746,-1.7856,7.0060
38,2,549,257,576,262,9.227367194289329,280.6314308839977,9.340026172805315,308.084404019418,0.6983,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0138,0.0466,2.8186,293.7178,7.2752,-1.1819,7.3706
38,3,373,87,383,73,308.9382112112714,160.70469812671936,308.60950468535304,177.88198334851114,0.6711,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1029,0.0507,3.0720,168.8576,2.6631,3.2959,4.2373
39,1,516,273,563,285,14.036243467926479,251.5094431626773,14.082561792123508,300.0166662037294,0.6635,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.9121,0.088,5.3722,273.6299,6.6615,-1.6654,6.8665
39,2,556,255,583,260,8.609671780773555,287.2368360778262,8.773848068331361,314.6823795511913,0.6371,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9913,0.0456,2.7546,300.3339,7.4517,-1.1282,7.5366
39,3,381,84,392,71,310.416470190883,168.12197952677099,310.39990433373674,185.15128949051368,0.8649,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.048,0.0482,2.9158,176.2262,2.8671,3.3669,4.4222
40,1,521,271,568,282,13.33026485333698,255.89450951515158,13.305236506091088,304.16442921551493,0.6669,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.8737,0.0862,5.2632,277.9493,6.7870,-1.6082,6.9749
40,2,561,253,588,258,8.074583205337621,291.8938163099726,8.282349417031316,319.3305497443049,0.5732,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9759,0.0449,2.7108,304.9964,7.5777,-1.0750,7.6536
40,3,386,82,397,68,311.248270929474,172.90459797240788,310.9597959815958,190.68560512005095,0.6781,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0632,0.0489,2.9590,181.3603,3.0006,3.4218,4.5511
41,5,583,451,617,476,37.54187240717684,392.2269751049767,37.42384510431092,434.42030339292387,0.7136,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1096,0.051,3.0911,412.2468,8.2026,-6.3036,10.3450
41,1,526,269,574,279,12.648173743776717,260.31711430484165,12.508718025713552,309.3428518650463,0.5991,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.871,0.0861,5.2554,282.7204,6.9224,-1.5535,7.0946
41,2,544,247,595,254,7.332327174693871,274.2425933366296,7.408656504659614,325.7192042235152,0.6117,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.8653,0.0858,5.2393,297.7726,7.4112,-0.9537,7.4723
41,3,392,79,404,65,312.0585350060889,179.13402803487674,311.92254460057563,197.56770991232347,0.7729,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0638,0.0489,2.9609,187.8998,3.1586,3.5008,4.7152
42,5,591,449,625,475,36.610381546574686,397.404076476324,36.687676335369375,440.20222625516107,0.7617,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1108,0.0511,3.0945,417.7097,8.4140,-6.2512,10.4821
42,1,533,267,582,277,11.899721136519467,266.73207531153804,11.842076115327766,316.7412192942371,0.6443,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.8633,0.0857,5.2337,289.5935,7.1109,-1.4985,7.2671
42,2,574,248,603,252,6.79788250028634,304.138126514911,6.890548321938934,333.4081582685103,0.7199,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9981,0.0459,2.7740,318.1012,7.9263,-0.9449,7.9825
42,3,399,76,412,62,313.04007274087365,186.07794065928394,313.02506598911805,205.1828452868319,0.8609,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0615,0.0488,2.9544,195.1640,3.3426,3.5794,4.8975
43,5,597,447,632,472,35.86982351772131,401.06109260310956,35.83765295427829,444.07206622349037,0.8343,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1064,0.0509,3.0819,421.4721,8.5706,-6.1972,10.5765
43,1,562,268,590,274,10.929488002180381,295.357410606201,11.032473240897692,323.9876540857691,0.719,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.005,0.0462,2.7936,309.0108,7.6137,-1.4702,7.7543
43,2,602,248,614,249,6.225829064425769,331.95782864695326,6.174650628492861,343.99563950724723,0.5141,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.3872,0.0178,1.0373,337.8695,8.4285,-0.9195,8.4785
43,3,406,74,420,60,314.1574757392596,192.35384061671346,314.23610153907,212.1508896988179,0.8127,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.064,0.0489,2.9613,201.7679,3.5272,3.6325,5.0632
44,5,603,446,635,470,35.25834870252557,405.36033353055154,35.40307558185328,445.34593295549473,0.746,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0218,0.047,2.8415,424.4134,8.6966,-6.1480,10.6503
44,1,567,266,596,272,10.37319809695906,299.90165054564136,10.491477012331599,329.50872522590356,0.6936,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0226,0.047,2.8438,314.0088,7.7510,-1.4188,7.8798
44,2,607,246,619,247,5.795249960517453,336.7209527190133,5.759633735663529,348.7606629194296,0.5646,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.3818,0.0176,1.0221,342.6351,8.5542,-0.8682,8.5981
44,3,412,72,426,58,315.0,197.9898987322333,315.0,217.78888860545663,0.8736,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0352,0.0476,2.8796,207.4180,3.6805,3.6805,5.2050
45,1,574,264,603,269,9.769700050531238,306.44412214953644,9.770813389813943,335.87199942835366,0.8438,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.996,0.0458,2.7681,320.4839,7.9256,-1.3647,8.0423
45,2,593,242,627,245,5.339236803737584,322.3988213377958,5.310824439871846,356.5305036038291,0.8494,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0929,0.0503,3.0436,338.6067,8.4602,-0.7907,8.4970
45,3,419,70,433,55,315.9911775750108,204.38444167793205,315.72066362251763,224.8777445635739,0.6406,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0379,0.0477,2.8871,214.1419,3.8649,3.7335,5.3737
46,1,580,261,609,266,9.03948280335512,311.8733717392365,9.103538297628235,341.29898915760066,0.7672,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9794,0.0451,2.7209,325.9234,8.0772,-1.2850,8.1788
46,2,599,239,620,240,4.72013693104356,328.11278548694196,4.60009566626328,349.12461958446875,0.4684,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.6745,0.031,1.8541,338.2927,8.4604,-0.6986,8.4892
46,3,425,67,440,51,316.53777238469746,210.79373804740976,316.2188752351313,232.69078194032525,0.6157,3,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0734,0.0494,2.9881,221.2017,4.0290,3.8183,5.5509
47,6,560,256,605,262,8.686354581236651,291.3417237540823,8.539179087055514,336.7328317821118,0.6566,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.5712,0.0723,4.4031,312.3971,7.7494,-1.1839,7.8393
47,1,584,258,617,263,8.38703237865949,315.37279527568637,8.408911732600714,348.7491935474547,0.8792,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0926,0.0503,3.0426,331.2223,8.2228,-1.2123,8.3117
47,2,603,236,635,239,4.147119310574953,331.86895003901765,4.253836436119192,364.00274724238005,0.723,4,20,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0039,0.0462,2.7905,347.1939,8.6897,-0.6301,8.7125
