Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
9,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
9,2,378,405,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.8143,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
9,3,195,345,187,359,119.35775354279127,146.86047800548656,119.39605285494326,162.9846618550347,0.8288,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
10,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
10,2,370,391,389,425,59.376417975146104,202.20039564748632,59.606737354447,241.1389640850271,0.5511,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
10,3,195,345,186,358,119.35775354279127,146.86047800548656,119.87599269168943,162.60996279441184,0.5453,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
11,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
11,2,378,405,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.825,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
11,3,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7523,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
11,4,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5779,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,,,,
