Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
10,1,186,439,178,457,111.41716635294169,249.2087478400387,111.6035657301602,268.8884527085535,0.7221,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9822,258.6748,-2.3805,-6.039
11,1,181,436,173,454,112.74411210662628,248.3082761407682,112.83365417791754,268.00186566514793,0.8413,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9944,257.7795,-2.5058,-5.9637
11,4,301,168,308,162,301.6075022462489,45.79301256742124,304.56252464888183,54.644304369257,0.2906,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.8389,49.8286,0.685,1.0461
12,1,171,430,163,448,115.4234385529055,246.9109151090733,115.31550915833827,266.6027006614899,0.812,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0101,256.3792,-2.7563,-5.8133
13,1,162,425,152,442,117.81267491933664,246.4731222669117,118.00917670801385,266.1766330841233,0.655,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0168,255.9462,-3.0068,-5.6754
13,4,286,156,289,150,280.00797980144137,51.78802950489621,281.888658039628,58.249463516842795,0.3265,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.5771,54.829,0.2626,1.3506
14,1,153,419,143,435,120.32360686255,245.60130292814003,120.4435756799257,264.4617174564213,0.8016,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9047,254.6828,-3.2327,-5.5132
14,4,278,149,279,143,270.9877603996398,58.008620049092706,271.78991060824603,64.03124237432849,0.4801,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8563,60.8713,0.0376,1.527
15,1,148,414,137,430,121.93068210371783,243.90571949013415,122.1207127212308,263.3040068058213,0.7239,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0023,253.2339,-3.3702,-5.3873
15,4,272,145,273,138,265.38935068133935,62.20128616033595,266.6822188316652,69.1158447825099,0.3771,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.1106,65.4765,-0.1126,1.6392
