Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
0,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
1,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
2,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
3,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
4,1,411,248,421,251,14.520149018537024,143.58621103713267,14.667824903700057,154.0194792875239,0.7949,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.7571,148.62,3.6091,-0.9399
5,1,411,248,421,251,14.520149018537024,143.58621103713267,14.667824903700057,154.0194792875239,0.7949,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.7571,148.62,3.6091,-0.9399
6,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
7,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
8,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.741,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
9,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
10,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.741,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
11,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
12,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
13,1,411,248,421,251,14.520149018537024,143.58621103713267,14.667824903700057,154.0194792875239,0.7949,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.7571,148.62,3.6091,-0.9399
14,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
15,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
16,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
17,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7363,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
18,1,411,248,421,251,14.520149018537024,143.58621103713267,14.667824903700057,154.0194792875239,0.7949,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.7571,148.62,3.6091,-0.9399
19,1,411,248,421,251,14.520149018537024,143.58621103713267,14.667824903700057,154.0194792875239,0.7949,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.7571,148.62,3.6091,-0.9399
20,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
21,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
22,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.7646,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
23,1,411,248,421,250,14.520149018537024,143.58621103713267,14.307357120410286,153.7693077307692,0.741,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.6946,148.5034,3.6093,-0.9274
24,1,411,248,422,250,14.520149018537024,143.58621103713267,14.215853473673555,154.7384890710776,0.6975,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.936,148.9539,3.621,-0.9272
25,1,411,247,422,250,14.133190548862926,143.33875958721003,14.215853473673555,154.7384890710776,0.8156,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0022,148.8206,3.6208,-0.9146
26,1,417,239,428,242,10.548065418142127,147.49237268414933,10.885527054658738,158.8584275384847,0.662,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9143,152.9646,3.7715,-0.7142
27,2,124,456,113,475,121.23921488820876,285.3769437077915,121.15559436268403,307.3271872125862,0.793,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9091,295.9456,-3.8467,-6.3526
27,1,427,230,438,232,6.624032634517511,156.0416611036937,6.869992308214259,167.20047846821492,0.7347,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.7159,161.4285,4.0228,-0.4762
28,2,135,447,124,466,120.24127553924356,272.0183817318234,120.2283785078325,293.97278785629123,0.9394,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.0441,282.5698,-3.5705,-6.1263
28,1,436,221,449,222,3.141129835636104,164.24676556937126,3.2336121248878653,177.28226081590904,0.7997,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9963,170.5157,4.2723,-0.238
29,1,448,210,462,209,359.34893961977053,176.0113632695344,359.0954049662673,190.02368273454758,0.6995,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.005,182.7493,4.5855,0.0626
30,2,152,431,142,448,118.72032679786948,249.7218452598811,118.84805928536906,269.43644890771554,0.6801,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.9814,259.2048,-3.1322,-5.7007
