Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
24,9,116,226,106,228,174.52263127117112,146.66969693839283,174.14398641457106,156.81836627130127,0.7488,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
25,10,329,140,415,69,312.93988897627685,98.35141076771599,316.9349323095528,209.42301688209918,0.3922,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
25,9,116,224,106,225,175.30131948270056,146.4923206178399,175.2363583092738,156.54072952429985,0.7878,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
26,10,330,139,414,67,312.9690857631469,99.76472322419383,316.350155611466,210.06903627141244,0.4587,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
27,10,330,137,413,66,312.1975484801332,101.23734488813898,315.96448430222654,210.0404722904612,0.4218,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
29,11,280,56,289,1,276.581944655178,157.0350279396288,277.2920589645827,212.72047386182646,0.6885,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
30,11,280,56,289,3,276.581944655178,157.0350279396288,277.36107767157796,210.7368026710095,0.8222,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
30,12,94,213,27,201,179.65895772114115,168.00297616411441,182.6799739401079,235.25730594393875,0.4712,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
31,11,280,56,289,5,276.581944655178,157.0350279396288,277.4314079711725,208.75344308537763,0.7038,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
31,12,89,211,28,203,180.33118578841538,173.0028901492689,182.2025981617658,234.17301296263838,0.6369,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
32,11,281,56,289,7,276.9441305109932,157.15279189374905,277.5030873910496,206.77040407176264,0.7127,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
32,10,324,139,404,62,310.3417458903244,95.77577981932593,313.43064519525103,206.55265672462312,0.5164,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
32,12,85,210,26,206,180.64738238694187,177.01129907438113,181.4563586343397,236.07625886564705,0.6661,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
33,11,281,56,288,11,276.9441305109932,157.15279189374905,277.3704680031787,202.6746160721663,0.7422,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
33,10,325,141,402,62,311.5834118082287,94.92101980067429,313.02506598911805,205.1828452868319,0.7097,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
33,12,80,208,36,206,181.25904520717526,182.04395073717774,181.52076966114376,226.07963198837706,0.7391,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
34,11,281,56,288,15,276.9441305109932,157.15279189374905,277.5184268794422,198.70832896484234,0.6982,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
34,10,326,142,400,62,312.436229788535,94.847245611035,312.6140559696112,203.82345301755635,0.8737,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
34,12,76,206,37,207,181.8476102659946,186.09674903124989,181.2730300200567,225.055548698538,0.652,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
35,11,281,56,288,20,276.9441305109932,157.15279189374905,277.71189241265887,193.75241933973368,0.6397,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
35,10,328,142,398,62,313.3153156821037,96.20810776644555,312.1975484801332,202.47468977627796,0.781,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
35,12,72,204,40,209,182.4110297466112,190.16834647227702,180.77422016492807,222.02026934494066,0.3528,3,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
36,10,330,140,395,63,313.3634229583833,99.03534722511958,311.75265720967707,199.7248106770914,0.7029,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
37,11,281,56,287,29,276.9441305109932,157.15279189374905,277.77913719091435,184.69975636150687,0.5801,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
37,10,330,138,394,64,312.58049078334363,100.4987562112089,311.72951207681643,198.31288409984865,0.7885,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
38,10,330,136,392,65,311.8201698801358,101.9803902718557,311.488057348301,196.23710148695125,0.839,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
38,12,51,214,41,214,179.4569283062762,211.00947846009194,179.48150031270933,221.00904958847272,0.6961,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
39,11,281,56,286,38,276.9441305109932,157.15279189374905,277.85331330197823,175.64737401965337,0.5385,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
39,10,328,135,390,66,310.6012946450045,101.41498903022176,311.241444314528,194.164878389476,0.8045,2,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
40,10,326,135,388,67,309.73230287195577,100.12492197250393,310.98951532948325,192.09633000138237,0.7052,1,100,6,1,200,100,120.0,4.0,40.0,0.35,0.35,0.3,0.1
