Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,Radius_A_px,Angle_B_deg,Radius_B_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
30,1,455,203,468,202,357.18444331578877,183.22117781522965,357.07927847899964,196.25493624365222,0.6574,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
31,2,154,428,145,445,118.64761645680888,246.13004692641653,118.59322785309737,265.36390108679063,0.6981,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
31,1,457,201,471,200,356.59723022893826,185.32673849177834,356.54915680624885,199.36148073286373,0.6311,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
32,2,156,427,147,443,118.34840957773493,244.29695045169925,118.41895215226042,262.65186083483206,0.6975,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
32,1,459,199,473,198,356.02326902492246,187.45132701584163,356.0156839976278,201.48697228356974,0.6608,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
33,2,160,422,151,439,118.07248693585296,238.0,118.05938476834453,257.2353008434107,0.5829,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
33,1,463,195,477,194,354.91377829036537,191.75505208468434,354.9820203613654,205.7887266105702,0.6587,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
34,2,166,417,157,433,117.3422718279562,230.7834482799839,117.49075520974235,249.13048789740688,0.6448,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
34,3,24,348,4,359,151.26020470831196,282.842712474619,151.25490297986283,305.6681206799296,0.6998,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
34,1,468,189,483,188,353.3071246421659,197.3448757885545,353.51083360407245,212.3605424743495,0.5995,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
