Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
11,3,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5423,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0575,0.0946,,,,
12,1,378,405,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.7852,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0407,0.0479,,,,
12,2,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7122,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0733,0.0494,,,,
12,3,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.567,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0575,0.0946,,,,
13,1,378,405,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.7686,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0407,0.0479,,,,
13,2,195,345,186,359,119.35775354279127,146.86047800548656,119.70140954541058,163.47782724271815,0.6453,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1641,0.0535,,,,
13,3,156,199,134,194,189.21102654081665,112.44998888394787,189.81125686799604,134.97407158413796,0.5449,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.9791,0.091,,,,
14,1,378,405,389,425,59.44131292928861,218.3231549790356,59.606737354447,241.1389640850271,0.7157,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0796,0.0497,,,,
14,2,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7207,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0733,0.0494,,,,
14,3,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5658,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0575,0.0946,,,,
15,1,378,405,390,425,59.44131292928861,218.3231549790356,59.40221579066578,241.6464359348178,0.8276,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.1024,0.0507,,,,
15,2,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.705,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0733,0.0494,,,,
15,3,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5655,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,2.0575,0.0946,,,,
16,1,375,410,385,430,60.769256597841775,221.16283593768642,61.01395882732633,243.50154003619772,0.6393,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0451,0.0481,,,,
16,2,192,350,183,364,119.4190761517484,152.6892268629323,119.74488129694222,169.30741271426953,0.6246,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.122,0.0516,,,,
16,3,166,207,149,203,185.6544208226407,101.49384217774002,186.76617482255307,118.82760622010359,0.3855,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.7104,0.0787,,,,
17,1,372,412,382,432,61.69924423399363,221.472345903501,61.85839876773828,243.82370680473218,0.7047,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0443,0.048,,,,
17,2,188,352,179,366,120.3355385115889,156.41611170208776,120.56626988955452,173.04623659588788,0.697,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0974,0.0505,,,,
17,3,149,206,126,201,185.32574062476772,118.51160280748886,186.4739559686723,141.90489773083945,0.379,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.9529,0.0898,,,,
18,1,371,414,381,433,62.16958515751111,222.76669409945464,62.17590361574674,244.23758924457144,0.8292,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9995,0.046,,,,
18,2,187,353,178,367,120.46554491945989,157.78466338652817,120.68206863687206,174.4161689752415,0.7147,2,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,1.0884,0.0501,,,,
