Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
0,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8993,268.6888,-4.7047,-4.8298
0,2,378,405,390,425,59.44131292928861,218.3231549790356,59.40221579066578,241.6464359348178,0.8797,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0551,229.3935,2.9058,-4.9152
0,3,196,345,187,358,119.0165843438658,146.37281168304446,119.56953133326778,162.1141573089778,0.5592,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.7902,153.8419,-1.9022,-3.3706
1,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8993,268.6888,-4.7047,-4.8298
1,2,378,405,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.8555,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0165,228.7746,2.9090,-4.9210
1,3,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7273,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.7771,154.1108,-1.9023,-3.3701
1,4,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5719,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.6095,123.0923,-3.0465,0.5098
2,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8993,268.6888,-4.7047,-4.8298
2,2,378,405,390,424,59.44131292928861,218.3231549790356,59.281095735970815,240.7862122298534,0.7469,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9732,229.0052,2.9115,-4.9239
2,3,195,345,186,359,119.35775354279127,146.86047800548656,119.70140954541058,163.47782724271815,0.636,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.7888,154.7243,-1.9022,-3.3711
2,4,156,199,133,194,189.21102654081665,112.44998888394787,189.73944594549724,135.95955280891445,0.5719,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.5764,123.0923,-3.0450,0.5099
3,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8993,268.6888,-4.7047,-4.8298
3,2,378,405,389,424,59.44131292928861,218.3231549790356,59.48609402047973,240.2769235694514,0.8143,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9321,228.7746,2.9121,-4.9262
3,3,195,345,187,358,119.35775354279127,146.86047800548656,119.56953133326778,162.1141573089778,0.7273,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.7979,154.1108,-1.9022,-3.3719
4,1,89,400,69,420,134.20648038538764,255.29003114105336,134.28562580424114,283.5718603811034,0.9265,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8993,268.6888,-4.7047,-4.8298
4,2,378,406,390,424,59.57421619803874,219.18485349129398,59.281095735970815,240.7862122298534,0.6351,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8991,229.4783,2.9126,-4.9281
