Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
24,2,334,282,361,311,49.460848258516556,100.00499987500625,48.77546582428982,139.6030085635693,0.6121,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
24,1,341,283,369,311,46.921955958931434,105.41821474489122,46.39718102729638,145.0,0.6384,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
25,2,337,280,363,307,47.41950921665634,100.4987562112089,47.055888785004676,137.97463535012514,0.6324,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
25,1,343,280,372,308,45.0,104.65180361560904,44.72051060945526,144.9586147836685,0.7398,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
26,1,348,280,373,307,43.128255034711245,108.2450922675019,44.16158502559788,144.97241116847025,0.4513,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
27,1,363,285,395,315,40.04455105994776,122.78843593759146,40.862406415855894,166.6043216726385,0.4888,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
28,1,364,285,401,314,39.746197248737744,123.5556554755791,39.28940686250036,170.55204484262273,0.6229,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
28,3,371,286,410,315,38.10757687751486,129.63024338479042,37.705803691459145,178.21896644296868,0.6791,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
29,3,380,286,418,315,35.78107386189255,136.82470537150812,36.1870983622556,184.6131089603336,0.5766,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
30,3,386,286,431,314,34.362785490709925,141.73566946961517,33.690067525979785,194.6997688750554,0.6219,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
31,1,388,282,432,308,32.56455849747235,141.19844191774922,32.03696852986359,192.28364465029262,0.6104,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
31,3,395,282,441,309,31.09731288577945,147.14618581533128,30.914743901160413,200.48191938426766,0.7218,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
32,1,390,278,433,301,30.754394079558615,140.80127840328723,30.082352535491385,189.52836199366047,0.5682,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
32,3,396,278,441,302,29.55016401934344,145.98972566588375,29.167613379577798,196.9771560359221,0.6322,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
33,3,399,277,444,301,28.64133023383634,148.12494725737457,28.495638618244982,199.12307751739877,0.707,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
33,1,406,278,453,301,27.724056235971393,154.76756766196203,27.307503520738553,207.07728026029315,0.62,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
34,1,407,278,456,301,27.5528115767178,155.65346125287417,26.931543702158926,209.74746720759228,0.6087,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
35,1,414,277,463,300,26.088919925436137,161.44968256394932,25.851862542060402,215.5736533067063,0.7091,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
36,1,421,276,472,297,24.727314386690136,167.3439571660716,24.145541960421653,222.46348014898985,0.6585,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
37,1,428,277,482,300,24.062714725725343,174.13213373757299,23.812565776809304,232.81967270830015,0.6933,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
37,4,435,279,490,301,23.737926598916715,181.34221791960084,23.26114046643323,240.55352834660314,0.5593,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
38,1,429,276,482,299,23.629377730656817,174.64249196572982,23.587030525128238,232.41772737895877,0.7987,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
38,4,436,278,490,299,23.32269670116986,181.8598361376145,22.822062881390856,239.77072381756702,0.5897,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
39,1,433,276,487,297,23.114207983326832,178.31432920547917,22.6571790290647,236.23081932719955,0.5942,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
39,4,440,276,496,298,22.262069144125615,184.77283350103176,22.062040499181528,244.9346851713738,0.7222,2,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
40,4,446,274,499,293,21.015816297373775,189.61276328348785,20.719669085614893,245.9044529893674,0.5716,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
41,4,445,269,512,289,19.69505886886373,186.93581786270923,18.85830894683338,256.78395588509807,0.5894,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
42,4,446,261,506,277,17.26182037161276,185.34832073693033,16.677062361500187,247.40654801358835,0.5185,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
43,4,444,258,504,272,16.548940854971335,182.56231812726304,15.687453785300336,244.09219569662608,0.4891,1,70,1,3,200,100,120.0,3.0,15.0,0.35,0.35,0.3,0.25255474452554744
