Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
15,2,318,280,333,306,55.92280471986926,82.09750300709517,57.01900245454453,112.05802068571441,0.6186,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.1607,0.1543,9.4735,94.7661,1.3106,-1.9843
15,1,311,280,325,305,60.16446089973845,78.39005038906404,60.32151007486479,107.0420478129973,0.752,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.1832,0.1545,9.486,90.5025,1.1268,-1.9718
16,1,315,279,329,304,57.30801581742793,79.61155694998057,58.21908490701659,108.2266141020775,0.6872,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,16.9412,0.1523,9.3515,91.7395,1.2256,-1.9487
16,2,307,279,320,303,62.41797079220284,75.59100475585703,62.18958455615367,102.88342918079665,0.7193,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.0059,0.1529,9.3875,87.1504,1.0171,-1.9361
17,1,315,279,330,306,57.30801581742793,79.61155694998057,58.32453126189079,110.45361017187261,0.6458,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.0458,0.1623,9.9654,92.5302,1.2339,-1.967
17,2,308,279,322,305,61.750264505025726,76.05918747922567,61.73599585147607,105.58882516630251,0.754,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.0785,0.1626,9.9836,88.4238,1.0505,-1.9545
18,1,318,281,335,308,56.309932474020215,82.92767933567175,56.72511201516508,114.82595525402782,0.6722,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.9381,0.1613,9.9056,96.3042,1.3321,-2.0164
18,2,311,281,326,307,60.52411099675425,79.25906888173743,60.385188353653575,109.27488274987991,0.7478,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.705,0.1592,9.776,91.8776,1.1373,-2.0056
19,1,323,283,340,310,54.30994017498604,87.41853350405736,55.24408744645863,119.28118040998756,0.607,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,17.1426,0.1541,9.4634,100.8941,1.4577,-2.0701
19,2,315,282,332,309,58.438188158350655,82.15229759416349,58.26085920418485,114.0570032922135,0.7058,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,18.083,0.1626,9.986,95.5107,1.2582,-2.04
