Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
14,1,1.1764,-2.0097,328,307,59.641884541233374,81.12336284942828,59.481769321124766,110.27692415006868,0.7529,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.3729,0.1523,9.3729,93.4798,1.1764,-2.0097
15,2,1.2125,-1.9889,333,306,55.92280471986926,82.09750300709517,57.01900245454453,112.05802068571441,0.6186,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.5025,0.1543,9.5025,94.7661,1.2125,-1.9889
15,1,1.1806,-1.9865,325,305,60.16446089973845,78.39005038906404,60.32151007486479,107.0420478129973,0.752,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.4927,0.1545,9.4927,90.5025,1.1806,-1.9865
16,1,1.2214,-1.9852,329,304,57.30801581742793,79.61155694998057,58.21908490701659,108.2266141020775,0.6872,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.6117,0.1523,9.6117,91.7395,1.2214,-1.9852
16,2,1.1776,-1.9830,320,303,62.41797079220284,75.59100475585703,62.18958455615367,102.88342918079665,0.7193,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.5941,0.1529,9.5941,87.1504,1.1776,-1.9830
17,1,1.2752,-1.9948,330,306,57.30801581742793,79.61155694998057,58.32453126189079,110.45361017187261,0.6458,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.6344,0.1623,9.6344,92.5302,1.2752,-1.9948
17,2,1.1547,-1.9841,322,305,61.750264505025726,76.05918747922567,61.73599585147607,105.58882516630251,0.754,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.7213,0.1626,9.7213,88.4238,1.1547,-1.9841
18,1,1.3013,-2.0155,335,308,56.309932474020215,82.92767933567175,56.72511201516508,114.82595525402782,0.6722,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.7615,0.1613,9.7615,96.3042,1.3013,-2.0155
18,2,1.1812,-2.0079,326,307,60.52411099675425,79.25906888173743,60.385188353653575,109.27488274987991,0.7478,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.7855,0.1592,9.7855,91.8776,1.1812,-2.0079
19,1,1.3202,-2.0321,340,310,54.30994017498604,87.41853350405736,55.24408744645863,119.28118040998756,0.607,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.8640,0.1541,9.8640,100.8941,1.3202,-2.0321
19,2,1.2933,-2.0462,332,309,58.438188158350655,82.15229759416349,58.26085920418485,114.0570032922135,0.7058,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.8683,0.1626,9.8683,95.5107,1.2933,-2.0462
20,2,1.4107,-2.0835,340,312,55.22216863363612,87.65842800324451,55.7842978675626,120.9297316626478,0.6576,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,10.1173,0.1595,10.1173,101.6406,1.4107,-2.0835
20,1,1.3490,-2.0539,332,311,58.79948539601937,83.00602387778854,58.781597235653635,115.76268828944843,0.7059,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.8302,0.1648,9.8302,96.6852,1.3490,-2.0539
21,2,1.5448,-2.1046,345,317,57.03059609653788,88.20430828479978,55.19150185002769,127.88275880665071,0.4507,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,10.3964,0.1836,10.3964,104.4006,1.5448,-2.1046
22,2,1.6638,-2.1112,352,315,50.58260575653108,94.49338601193207,52.16354746583237,130.41855696180662,0.4466,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,10.4572,0.1597,10.4572,109.5868,1.6638,-2.1112
23,2,1.7601,-2.0876,361,314,50.19442890773481,93.72299611087985,48.89370755509714,135.36986370680884,0.5258,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,10.6023,0.1818,10.6023,110.7609,1.7601,-2.0876
24,3,2.0936,-2.0367,369,313,45.40634623330903,99.70456358662827,46.15733306812952,140.03570973148243,0.6205,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,10.2801,0.1682,10.2801,116.4777,2.0936,-2.0367
24,2,1.8058,-2.0776,361,311,48.416588191771346,94.92101980067429,48.04477844419399,133.12400234367956,0.6799,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,10.8025,0.1675,10.8025,110.8226,1.8058,-2.0776
25,3,2.2316,-2.0695,372,309,43.78112476486871,99.72462083156798,44.127542877097966,139.31618714277246,0.732,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,10.0804,0.1656,10.0804,116.2417,2.2316,-2.0695
25,2,1.8619,-2.0565,365,307,46.29216688624993,94.06912352095134,45.6095065766752,132.94359706281458,0.6456,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,10.6605,0.1712,10.6605,110.1779,1.8619,-2.0565
26,3,2.3573,-2.0884,375,307,42.96908576314689,99.76472322419383,42.686277502175784,140.12137595670404,0.7434,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,10.0304,0.1682,10.0304,116.5484,2.3573,-2.0884
27,3,2.5651,-2.1009,396,315,38.8113840367584,118.06777714516353,39.71455325061741,161.19863522995473,0.5331,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.9996,0.1544,9.9996,136.3026,2.5651,-2.1009
28,3,2.8189,-2.1277,406,315,38.8113840367584,118.06777714516353,37.547922556595324,169.01183390520322,0.4857,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,10.0023,0.1775,10.0023,139.0196,2.8189,-2.1277
29,3,3.1056,-2.1421,419,315,35.17472295785154,128.4562182223967,35.01817071226684,179.49373248110922,0.7416,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.7979,0.1657,9.7979,149.7457,3.1056,-2.1421
30,3,3.2996,-2.0958,433,315,32.760400163068155,136.75159962501354,32.609143339319104,191.12822920751398,0.7524,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.7726,0.1658,9.7726,159.4309,3.2996,-2.0958
31,3,3.4703,-2.0442,440,309,29.794617204166105,142.88806808127822,30.00131849550571,193.9922678871506,0.7106,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.7994,0.1517,9.7994,164.564,3.4703,-2.0442
32,3,3.6432,-1.9952,442,303,28.19130837379314,141.8238343861849,28.159881284660642,192.8237537234456,0.7364,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.5782,0.1524,9.5782,163.4376,3.6432,-1.9952
32,4,3.4292,-1.9228,434,302,29.58776346541862,135.69450983735487,29.054604099077146,185.32134253776601,0.6266,2,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,9.4909,0.1546,9.4909,156.6719,3.4292,-1.9228
