Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
49,1,473,242,539,251,7.4437164091170205,200.6913052426537,7.523820438638627,267.30132809247317,0.9681,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
74,2,497,166,564,151,347.3624201775482,228.53664913969487,347.366638064725,297.1952220342716,0.9026,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
75,2,499,167,565,152,347.7140839190033,230.27375013231534,347.5963375876793,297.9546945426435,0.9154,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
77,2,498,167,563,153,347.6609127216738,229.2967509582288,347.70230712634,295.78708558691335,0.9104,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
83,2,490,165,546,152,346.7151335150978,221.93918085818015,346.7594800848128,279.42798714516766,0.9198,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
87,2,492,168,545,156,347.58255420992367,223.22186272854188,347.51597210159264,277.5626055505316,0.9657,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
88,2,493,168,545,157,347.6375075842857,224.19857269840057,347.7176724186393,277.34815665513264,0.9261,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
90,2,491,166,540,155,347.02466822233777,222.6858774148015,347.08406453669755,272.90474528670256,0.968,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
91,2,496,167,546,156,347.5531995528535,227.343352662883,347.5604379811534,278.53904573685895,0.9377,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
93,2,497,167,544,157,347.607286523054,228.31995094603536,347.67357057621507,276.37112729082247,0.9619,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
96,2,491,165,535,155,346.7741977262854,222.91253890259293,346.84516052865564,268.0335799857921,0.9589,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
97,2,497,167,542,157,347.607286523054,228.31995094603536,347.5844249092672,274.41756503547657,0.9865,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
98,2,492,167,535,157,347.3321251379374,223.4390297150433,347.26216929612593,267.58550035455954,0.9588,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
99,2,491,165,532,155,346.7741977262854,222.91253890259293,346.69760561695097,265.11318337645906,0.9536,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
100,2,499,168,541,159,347.95742485711503,230.0630348404541,347.94921511659044,273.0164830188829,0.9949,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
102,2,492,165,531,156,346.8327483051222,223.8861317723811,346.8589302422846,263.9109698364204,0.9485,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
103,2,500,168,540,160,348.0091650209607,231.0411218809327,348.11134196037204,271.8308297452664,0.9332,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
105,2,500,167,539,159,347.7668057909637,231.25094594401122,347.8609534861665,271.0608787708031,0.9373,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
107,2,493,166,530,158,347.13920694090547,224.6352599215003,347.2344342189414,262.48809496813374,0.9371,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
108,2,488,164,526,155,346.34235749418787,220.22715545545242,346.39252891701517,259.2778432492835,0.9297,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
109,2,481,162,519,152,345.3791260113683,213.92755783208483,345.3600877068645,253.2212471338059,0.9636,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
110,2,484,164,524,154,346.0922221901453,216.34232133357543,346.0716580608463,257.5732905407702,0.9004,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
111,2,478,170,521,161,347.2928864986834,209.1219739769114,347.4466334498694,253.04940229133123,0.9174,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
112,2,484,185,530,179,351.60269741331024,212.27576404290716,351.7759188681559,258.6600085053737,0.9082,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
113,2,490,198,539,194,355.23635830927384,216.74870241826133,355.25425205619774,265.91163945942645,0.9573,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
116,3,479,231,531,235,4.1849161251184155,205.54804791094466,4.228182705161644,257.70137756713683,0.916,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
179,4,134,244,95,252,168.6900675259798,142.772546380598,168.628525358978,182.58422713914803,0.901,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
186,5,128,208,88,206,183.1363583683326,146.21901381147393,183.07745539942437,186.26862323000083,0.9791,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
187,5,130,205,89,202,184.36827743458838,144.4195277654653,184.3276482031082,185.52897347853784,0.9393,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
202,6,135,141,94,119,208.34989450139696,157.94302770302968,208.31973416197113,204.47249203743763,0.9892,1,70,1,1,200,100,128.0,3.0,15.0,0.35,0.35,0.3,0.9
