Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,Radius_A_px,Angle_B_deg,Radius_B_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
0,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
0,2,378,405,390,425,61.22340588259909,220.19309707617992,61.01395882732633,243.50154003619772,0.7127,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
0,3,195,345,186,358,120.06858282186246,153.68148880070103,120.49983323344743,169.44615663980107,0.6024,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
0,4,157,199,133,194,186.44953470384226,115.73245007343446,187.3785358426738,140.1606221447379,0.4613,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
1,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
1,2,371,392,390,425,61.189206257026946,205.4288197892399,61.01395882732633,243.50154003619772,0.5685,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
1,5,371,404,378,418,62.72323661688632,216.0208323287363,62.77132082290876,231.67218218853984,0.6589,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
1,3,195,345,187,358,120.06858282186246,153.68148880070103,120.20761248040662,168.94081803992782,0.7626,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
1,4,156,199,133,194,186.39439776522758,116.72617529928752,187.3785358426738,140.1606221447379,0.4276,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
2,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
2,2,371,392,389,425,61.189206257026946,205.4288197892399,61.22019369560279,243.01851781294363,0.6393,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
2,5,371,404,378,418,62.72323661688632,216.0208323287363,62.77132082290876,231.67218218853984,0.6822,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
2,3,195,345,186,359,120.06858282186246,153.68148880070103,120.32908604198373,170.30854353202602,0.669,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
2,4,156,199,133,194,186.39439776522758,116.72617529928752,187.3785358426738,140.1606221447379,0.4332,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
3,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
3,5,378,405,390,425,61.22340588259909,220.19309707617992,61.01395882732633,243.50154003619772,0.7359,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
3,3,195,345,187,359,120.06858282186246,153.68148880070103,120.03784474567345,169.80577139779436,0.8516,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
3,4,156,199,133,194,186.39439776522758,116.72617529928752,187.3785358426738,140.1606221447379,0.4369,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
4,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
4,5,381,406,390,424,60.67029824420265,222.52415599210798,60.899522588456556,242.62728618191318,0.6023,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
4,2,370,404,378,418,62.95947609047414,215.56437553547664,62.77132082290876,231.67218218853984,0.566,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
4,3,194,345,187,359,120.39018057027286,154.18495387034366,120.03784474567345,169.80577139779436,0.5592,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
4,4,156,199,133,194,186.39439776522758,116.72617529928752,187.3785358426738,140.1606221447379,0.4309,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
5,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
5,2,371,391,390,425,61.05421966277575,204.55317157159897,61.01395882732633,243.50154003619772,0.6356,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
5,5,372,406,379,418,62.730528011541935,218.25672956406177,62.55184682143527,232.13142829009604,0.533,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
5,3,195,345,187,358,120.06858282186246,153.68148880070103,120.20761248040662,168.94081803992782,0.7808,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
5,4,156,199,133,194,186.39439776522758,116.72617529928752,187.3785358426738,140.1606221447379,0.426,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
6,1,89,401,69,420,134.0759546472273,263.07793522072507,134.30300543543694,290.64239195272256,0.6557,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
6,2,371,392,390,425,61.189206257026946,205.4288197892399,61.01395882732633,243.50154003619772,0.5685,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
6,5,371,404,378,418,62.72323661688632,216.0208323287363,62.77132082290876,231.67218218853984,0.6822,5,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1
