Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
8,2,370,391,389,424,61.29991071686427,204.07106605298068,61.106274120967576,242.1425200166216,0.5643,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.623,221.4826,2.678,-4.8702
8,3,195,345,186,359,120.06858282186246,153.68148880070103,120.32908604198373,170.30854353202602,0.6729,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0079,161.5684,-2.0398,-3.5039
9,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
9,2,370,391,389,424,61.29991071686427,204.07106605298068,61.106274120967576,242.1425200166216,0.5643,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.623,221.4826,2.678,-4.8702
9,3,195,345,187,359,120.06858282186246,153.68148880070103,120.03784474567345,169.80577139779436,0.8316,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8945,161.3418,-2.0276,-3.5044
10,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
10,2,370,391,389,424,61.29991071686427,204.07106605298068,61.106274120967576,242.1425200166216,0.5646,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.623,221.4826,2.678,-4.8702
10,3,195,345,186,359,120.06858282186246,153.68148880070103,120.32908604198373,170.30854353202602,0.669,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0079,161.5684,-2.0398,-3.5039
11,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
11,2,370,391,389,424,61.29991071686427,204.07106605298068,61.106274120967576,242.1425200166216,0.5643,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.623,221.4826,2.678,-4.8702
11,3,195,345,187,358,120.06858282186246,153.68148880070103,120.20761248040662,168.94081803992782,0.7876,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6985,160.9503,-2.0281,-3.4928
11,4,156,199,133,194,186.39439776522758,116.72617529928752,187.3785358426738,140.1606221447379,0.443,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,7.0771,127.3745,-3.173,0.3857
12,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
12,2,370,391,389,424,61.29991071686427,204.07106605298068,61.106274120967576,242.1425200166216,0.5643,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.623,221.4826,2.678,-4.8702
12,3,195,345,187,358,120.06858282186246,153.68148880070103,120.20761248040662,168.94081803992782,0.808,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6985,160.9503,-2.0281,-3.4928
13,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
13,2,378,405,389,425,61.22340588259909,220.19309707617992,61.22019369560279,243.01851781294363,0.8378,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8507,231.0434,2.7912,-5.0817
13,3,195,345,187,359,120.06858282186246,153.68148880070103,120.03784474567345,169.80577139779436,0.8566,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8945,161.3418,-2.0276,-3.5044
14,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
14,2,378,405,389,425,61.22340588259909,220.19309707617992,61.22019369560279,243.01851781294363,0.846,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8507,231.0434,2.7912,-5.0817
14,3,195,345,187,359,120.06858282186246,153.68148880070103,120.03784474567345,169.80577139779436,0.8566,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8945,161.3418,-2.0276,-3.5044
15,1,89,400,69,420,134.22786642888408,262.36043909095747,134.30300543543694,290.64239195272256,0.9267,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9942,275.7782,-4.8305,-4.9556
15,2,378,405,388,424,61.22340588259909,220.19309707617992,61.31385242626057,241.66091947189145,0.7918,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6358,230.4281,2.7794,-5.0706
15,3,195,345,186,358,120.06858282186246,153.68148880070103,120.49983323344743,169.44615663980107,0.562,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8131,161.1793,-2.0403,-3.4923
15,4,156,199,133,194,186.39439776522758,116.72617529928752,187.3785358426738,140.1606221447379,0.4369,4,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,7.0771,127.3745,-3.173,0.3857
16,1,86,405,66,426,133.94188691177104,268.03917624108607,133.9087837747374,297.03871801500895,0.7921,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0079,281.7948,-4.9055,-5.0932
16,2,375,411,385,430,62.634461076658994,224.07588000496617,62.60009673400413,245.54632964066067,0.8567,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.5771,234.3203,2.7045,-5.2212
16,3,192,349,183,364,120.2824334319419,158.64740779476983,120.35009589418704,176.13914953808538,0.839,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0792,166.9363,-2.1147,-3.6162
17,1,82,407,62,427,134.2559407971113,272.2590678012396,134.32596310201552,300.54117854297436,0.8102,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8583,285.7019,-5.0066,-5.1318
17,2,372,413,382,432,63.54908369090289,224.50167037240502,63.43494882292201,245.96747752497686,0.7623,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.57,234.7449,2.6294,-5.2713
17,3,188,351,179,366,121.14526314616668,162.40997506310995,121.1276143680399,179.90275150758535,0.9034,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9911,170.7094,-2.215,-3.6667
18,1,81,408,61,429,134.2597856353496,273.67316273248275,134.19684074818977,302.67143902258107,0.7819,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9305,287.4428,-5.0311,-5.1688
18,2,371,413,380,433,63.778033222445536,224.05802819805407,63.95580519742397,245.97764126033894,0.6999,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6475,234.5067,2.5916,-5.2833
18,3,187,353,178,367,121.08312256669872,164.63899902513984,121.23478468799235,181.27603261324978,0.7651,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.7599,172.5574,-2.2407,-3.7053
19,1,75,417,53,439,133.8599359662136,284.3132075722125,133.97238321355835,315.4203544478384,0.7954,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0501,299.06,-5.2055,-5.4057
19,2,364,422,374,444,66.3420030012373,229.26840166058645,66.26706019592801,253.4324367558344,0.775,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.911,240.7456,2.428,-5.5319
19,3,181,362,171,377,121.24379232524568,175.44514812328097,121.4716845336273,193.45800577903205,0.6959,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8162,184.0118,-2.4033,-3.9429
20,1,72,420,51,443,133.87669728592456,288.5550207499429,133.73260101476674,319.6904753038476,0.8071,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9978,303.3259,-5.2685,-5.4937
20,2,355,411,371,448,67.35969417536941,215.61539833694624,67.24236368054666,255.92381678929377,0.595,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,6.6354,234.0468,2.2669,-5.4181
20,3,178,365,168,381,121.56569577463642,179.56892826989863,121.60750224624891,198.4363877921587,0.826,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8997,188.5318,-2.4781,-4.0301
